trip_id,route_id,start_time,end_time,distance_km,avg_slope,congestion_index,avg_speed,passenger_load,temperature,peak_hour,energy_kwh,source
1001-2-288-1315,1001,13:15:00,14:00:00,8.24,0.0153,0.374,10.99,0.542,27.2,0,15.26,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-288-1915,1001,19:15:00,20:00:00,8.24,0.0142,0.784,10.99,0.602,25.1,1,15.92,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-288-2115,1001,21:15:00,22:00:00,8.24,0.047,0.444,10.99,0.493,23.6,0,21.02,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-288-2215,1001,22:15:00,23:00:00,8.24,0.0569,0.446,10.99,0.47,22.8,0,22.51,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-288-2245,1001,22:45:00,23:30:00,8.24,0.0188,0.328,10.99,0.266,22.8,0,15.35,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-448-0535,1001,05:35:00,06:20:00,7.98,0.0547,0.426,10.64,0.494,22.2,0,22.32,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-448-0735,1001,07:35:00,08:20:00,7.98,-0.0193,0.512,10.64,0.785,23.6,1,12.25,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-448-0805,1001,08:05:00,08:50:00,7.98,0.0046,0.608,10.64,0.783,24.3,1,12.34,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-448-0905,1001,09:05:00,09:50:00,7.98,0.0446,0.585,10.64,0.694,25.1,1,20.6,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-448-1405,1001,14:05:00,14:50:00,7.98,0.038,0.198,10.64,0.368,27.3,0,18.74,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-448-1605,1001,16:05:00,16:50:00,7.98,-0.008,0.171,10.64,0.356,26.9,0,11.36,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-448-1850,1001,18:50:00,19:35:00,7.98,0.024,0.793,10.64,0.783,25.8,1,17.0,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-448-2110,1001,21:10:00,21:55:00,7.98,0.0061,0.436,10.64,0.353,23.6,0,11.97,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-448-0630,1001,06:30:00,07:15:00,8.24,0.0292,0.395,10.99,0.555,22.8,0,17.04,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-448-0950,1001,09:50:00,10:35:00,8.24,0.0084,0.594,10.99,0.605,25.1,1,14.0,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-448-1150,1001,11:50:00,12:35:00,8.24,-0.0148,0.196,10.99,0.246,26.5,0,11.26,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-448-1250,1001,12:50:00,13:35:00,8.24,0.0204,0.235,10.99,0.322,26.9,0,16.22,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-448-1350,1001,13:50:00,14:35:00,8.24,-0.0087,0.218,10.99,0.244,27.2,0,11.13,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-448-1650,1001,16:50:00,17:35:00,8.24,-0.003,0.444,10.99,0.28,26.9,0,12.36,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-448-1850,1001,18:50:00,19:35:00,8.24,0.0521,0.561,10.99,0.668,25.8,1,24.18,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-448-1950,1001,19:50:00,20:35:00,8.24,0.0432,0.798,10.99,0.696,25.1,1,21.37,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-448-2205,1001,22:05:00,22:50:00,8.24,-0.018,0.387,10.99,0.383,22.8,0,10.56,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-448-2305,1001,23:05:00,23:50:00,8.24,0.0125,0.329,10.99,0.319,22.2,0,13.34,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1002-1-287-0600,1002,06:00:00,06:58:00,16.17,0.0543,0.298,16.73,0.331,22.8,0,42.83,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1002-1-287-0700,1002,07:00:00,07:58:00,16.17,-0.0234,0.785,16.73,0.741,23.6,1,25.15,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1002-1-287-0715,1002,07:15:00,08:13:00,16.17,0.0213,0.573,16.73,0.909,23.6,1,32.74,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1002-1-287-0755,1002,07:55:00,08:53:00,16.17,0.0411,0.552,16.73,0.926,23.6,1,40.65,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1002-1-287-1000,1002,10:00:00,10:58:00,16.17,0.0557,0.32,16.73,0.409,25.8,0,44.42,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1002-1-287-1200,1002,12:00:00,12:58:00,16.17,0.0599,0.296,16.73,0.312,26.9,0,47.58,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1002-1-287-1405,1002,14:05:00,15:03:00,16.17,0.0042,0.4,16.73,0.522,27.3,0,27.36,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1002-1-287-1725,1002,17:25:00,18:23:00,16.17,-0.0023,0.794,16.73,0.847,26.5,1,27.48,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1002-1-287-1815,1002,18:15:00,19:13:00,16.17,0.0453,0.59,16.73,0.661,25.8,1,43.27,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1002-1-288-0600,1002,06:00:00,06:58:00,16.17,0.0429,0.3,16.73,0.566,22.8,0,38.57,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1002-1-288-1100,1002,11:00:00,11:58:00,16.17,0.0283,0.379,16.73,0.427,26.5,0,35.49,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1002-1-288-1305,1002,13:05:00,14:03:00,16.17,0.0516,0.385,16.73,0.544,27.2,0,47.16,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1002-1-288-1645,1002,16:45:00,17:43:00,16.17,0.0068,0.273,16.73,0.595,26.9,0,27.85,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1002-1-448-0600,1002,06:00:00,06:58:00,16.17,-0.0231,0.38,16.73,0.322,22.8,0,21.04,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1002-1-448-1300,1002,13:00:00,13:58:00,16.17,0.0494,0.389,16.73,0.495,27.2,0,45.23,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1002-1-448-1645,1002,16:45:00,17:43:00,16.17,0.0177,0.179,16.73,0.452,26.9,0,30.81,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1006-1-287-0737,1006,07:37:00,08:41:00,12.81,-0.0236,0.744,12.01,0.701,23.6,1,20.29,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1006-1-287-0752,1006,07:52:00,08:56:00,12.81,0.0041,0.591,12.01,0.94,23.6,1,21.12,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1006-1-287-1800,1006,18:00:00,19:04:00,12.81,0.0517,0.744,12.01,0.666,25.8,1,37.5,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1006-1-287-1815,1006,18:15:00,19:19:00,12.81,0.0524,0.643,12.01,0.609,25.8,1,36.69,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1006-2-287-0715,1006,07:15:00,08:19:00,12.52,-0.0036,0.576,11.74,0.858,23.6,1,18.56,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1006-2-287-0728,1006,07:28:00,08:32:00,12.52,0.0419,0.797,11.74,0.722,23.6,1,32.59,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1006-2-287-0741,1006,07:41:00,08:45:00,12.52,0.0103,0.746,11.74,0.694,23.6,1,22.24,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1006-2-287-0754,1006,07:54:00,08:58:00,12.52,0.0396,0.672,11.74,0.626,23.6,1,31.33,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1006-2-287-0807,1006,08:07:00,09:11:00,12.52,-0.0239,0.669,11.74,0.851,24.3,1,18.48,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1006-2-287-1800,1006,18:00:00,19:04:00,12.52,-0.0118,0.601,11.74,0.772,25.8,1,19.76,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1006-2-287-1815,1006,18:15:00,19:19:00,12.52,-0.0014,0.646,11.74,0.833,25.8,1,20.24,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-0600,1008,06:00:00,07:05:00,14.72,-0.0022,0.377,13.59,0.293,22.8,0,19.15,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-0615,1008,06:15:00,07:20:00,14.72,0.0083,0.43,13.59,0.261,22.8,0,21.72,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-0715,1008,07:15:00,08:20:00,14.72,-0.013,0.799,13.59,0.762,23.6,1,23.08,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-0745,1008,07:45:00,08:50:00,14.72,0.0433,0.578,13.59,0.924,23.6,1,38.05,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-0905,1008,09:05:00,10:10:00,14.72,0.0492,0.723,13.59,0.674,25.1,1,40.14,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-0930,1008,09:30:00,10:35:00,14.72,-0.0209,0.759,13.59,0.93,25.1,1,23.96,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-1030,1008,10:30:00,11:35:00,14.72,0.0284,0.4,13.59,0.31,25.8,0,30.53,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-1052,1008,10:52:00,11:57:00,14.72,0.0497,0.364,13.59,0.399,25.8,0,38.82,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-1115,1008,11:15:00,12:20:00,14.72,-0.0042,0.337,13.59,0.311,26.5,0,20.84,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-1137,1008,11:37:00,12:42:00,14.72,0.0482,0.22,13.59,0.539,26.5,0,38.78,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-1200,1008,12:00:00,13:05:00,14.72,0.0411,0.413,13.59,0.461,26.9,0,37.4,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-1222,1008,12:22:00,13:27:00,14.72,0.0011,0.194,13.59,0.405,26.9,0,20.89,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-1245,1008,12:45:00,13:50:00,14.72,0.0451,0.254,13.59,0.289,26.9,0,37.31,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-1307,1008,13:07:00,14:12:00,14.72,-0.0023,0.215,13.59,0.346,27.2,0,21.03,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-1330,1008,13:30:00,14:35:00,14.72,0.0142,0.334,13.59,0.317,27.2,0,27.24,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-1420,1008,14:20:00,15:25:00,14.72,-0.0158,0.458,13.59,0.26,27.3,0,20.9,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-1450,1008,14:50:00,15:55:00,14.72,0.0489,0.411,13.59,0.543,27.3,0,41.06,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-1720,1008,17:20:00,18:25:00,14.72,0.0163,0.565,13.59,0.73,26.5,1,29.71,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-1800,1008,18:00:00,19:05:00,14.72,0.0584,0.543,13.59,0.744,25.8,1,43.8,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-2145,1008,21:45:00,22:50:00,14.72,0.0352,0.403,13.59,0.244,23.6,0,32.6,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-287-2245,1008,22:45:00,23:50:00,14.72,0.0536,0.388,13.59,0.242,22.8,0,39.25,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-287-0630,1008,06:30:00,07:35:00,16.19,0.0129,0.316,14.94,0.3,22.8,0,26.11,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-287-0745,1008,07:45:00,08:50:00,16.19,-0.0103,0.506,14.94,0.807,23.6,1,23.64,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-287-1005,1008,10:05:00,11:10:00,16.19,0.0551,0.46,14.94,0.368,25.8,0,44.79,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-287-1030,1008,10:30:00,11:35:00,16.19,-0.0099,0.407,14.94,0.383,25.8,0,23.17,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-287-1200,1008,12:00:00,13:05:00,16.19,-0.0038,0.295,14.94,0.255,26.9,0,23.33,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-287-1250,1008,12:50:00,13:55:00,16.19,0.0572,0.239,14.94,0.278,26.9,0,46.6,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-287-1450,1008,14:50:00,15:55:00,16.19,0.0297,0.343,14.94,0.3,27.3,0,35.63,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-287-1630,1008,16:30:00,17:35:00,16.19,0.0506,0.34,14.94,0.375,26.9,0,44.33,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-287-1730,1008,17:30:00,18:35:00,16.19,0.0026,0.686,14.94,0.699,26.5,1,27.93,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-287-1800,1008,18:00:00,19:05:00,16.19,0.0117,0.724,14.94,0.733,25.8,1,31.21,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-287-1820,1008,18:20:00,19:25:00,16.19,0.0204,0.735,14.94,0.698,25.8,1,33.86,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-287-1935,1008,19:35:00,20:40:00,16.19,0.0407,0.703,14.94,0.665,25.1,1,40.38,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-287-2155,1008,21:55:00,23:00:00,16.19,-0.0004,0.276,14.94,0.266,23.6,0,20.15,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-288-0600,1008,06:00:00,07:05:00,14.72,0.0321,0.19,13.59,0.582,22.8,0,30.03,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-288-0720,1008,07:20:00,08:25:00,14.72,-0.018,0.655,13.59,0.882,23.6,1,22.94,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-288-0745,1008,07:45:00,08:50:00,14.72,0.0347,0.753,13.59,0.728,23.6,1,35.77,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-288-0925,1008,09:25:00,10:30:00,14.72,-0.0097,0.687,13.59,0.957,25.1,1,23.79,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-288-0630,1008,06:30:00,07:35:00,16.19,0.049,0.369,14.94,0.426,22.8,0,41.84,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-288-0745,1008,07:45:00,08:50:00,16.19,-0.0098,0.572,14.94,0.696,23.6,1,24.35,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-288-0825,1008,08:25:00,09:30:00,16.19,0.0589,0.517,14.94,0.815,24.3,1,47.67,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-288-1145,1008,11:45:00,12:50:00,16.19,0.0118,0.332,14.94,0.27,26.5,0,27.36,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-288-1245,1008,12:45:00,13:50:00,16.19,0.0331,0.447,14.94,0.53,26.9,0,38.06,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-288-1335,1008,13:35:00,14:40:00,16.19,0.0366,0.331,14.94,0.314,27.2,0,39.32,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-288-1515,1008,15:15:00,16:20:00,16.19,-0.005,0.342,14.94,0.524,27.2,0,25.45,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-288-1630,1008,16:30:00,17:35:00,16.19,0.0598,0.406,14.94,0.342,26.9,0,48.43,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-288-2130,1008,21:30:00,22:35:00,16.19,-0.0043,0.183,14.94,0.563,23.6,0,21.27,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-0600,1008,06:00:00,07:05:00,14.72,0.0208,0.24,13.59,0.384,22.8,0,25.71,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-0740,1008,07:40:00,08:45:00,14.72,0.044,0.745,13.59,0.602,23.6,1,37.53,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-0810,1008,08:10:00,09:15:00,14.72,0.0577,0.577,13.59,0.605,24.3,1,42.89,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-0900,1008,09:00:00,10:05:00,14.72,0.022,0.721,13.59,0.64,25.1,1,31.2,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-0922,1008,09:22:00,10:27:00,14.72,-0.0114,0.736,13.59,0.935,25.1,1,23.43,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-0945,1008,09:45:00,10:50:00,14.72,0.0262,0.551,13.59,0.636,25.1,1,31.63,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-1007,1008,10:07:00,11:12:00,14.72,0.0095,0.393,13.59,0.527,25.8,0,24.74,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-1030,1008,10:30:00,11:35:00,14.72,-0.0197,0.265,13.59,0.598,25.8,0,20.56,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-1052,1008,10:52:00,11:57:00,14.72,0.0395,0.352,13.59,0.572,25.8,0,36.44,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-1115,1008,11:15:00,12:20:00,14.72,0.0439,0.437,13.59,0.339,26.5,0,37.47,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-1137,1008,11:37:00,12:42:00,14.72,0.0236,0.359,13.59,0.393,26.5,0,29.66,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-1200,1008,12:00:00,13:05:00,14.72,-0.0183,0.284,13.59,0.464,26.9,0,21.96,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-1222,1008,12:22:00,13:27:00,14.72,0.0469,0.323,13.59,0.418,26.9,0,38.9,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-1245,1008,12:45:00,13:50:00,14.72,0.0347,0.364,13.59,0.375,26.9,0,34.04,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-1307,1008,13:07:00,14:12:00,14.72,0.0036,0.364,13.59,0.391,27.2,0,22.85,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-1330,1008,13:30:00,14:35:00,14.72,0.0516,0.161,13.59,0.552,27.2,0,41.3,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-1352,1008,13:52:00,14:57:00,14.72,0.0119,0.25,13.59,0.415,27.2,0,25.83,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-1415,1008,14:15:00,15:20:00,14.72,0.024,0.297,13.59,0.482,27.3,0,31.12,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-1437,1008,14:37:00,15:42:00,14.72,0.0257,0.33,13.59,0.269,27.3,0,31.46,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-1500,1008,15:00:00,16:05:00,14.72,0.0104,0.425,13.59,0.396,27.2,0,26.39,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-1640,1008,16:40:00,17:45:00,14.72,-0.0025,0.277,13.59,0.484,26.9,0,21.92,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-1820,1008,18:20:00,19:25:00,14.72,-0.0123,0.572,13.59,0.923,25.8,1,23.13,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-1-448-2230,1008,22:30:00,23:35:00,14.72,0.0392,0.4,13.59,0.476,22.8,0,33.75,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-448-0640,1008,06:40:00,07:45:00,16.19,0.0118,0.309,14.94,0.536,22.8,0,26.62,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-448-0810,1008,08:10:00,09:15:00,16.19,0.0504,0.74,14.94,0.655,24.3,1,44.92,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-448-0900,1008,09:00:00,10:05:00,16.19,0.0186,0.728,14.94,0.781,25.1,1,32.17,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-448-1030,1008,10:30:00,11:35:00,16.19,0.0286,0.444,14.94,0.313,25.8,0,34.61,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-448-1052,1008,10:52:00,11:57:00,16.19,-0.0171,0.172,14.94,0.373,25.8,0,20.83,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-448-1115,1008,11:15:00,12:20:00,16.19,0.0318,0.284,14.94,0.542,26.5,0,35.3,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-448-1137,1008,11:37:00,12:42:00,16.19,0.0366,0.411,14.94,0.365,26.5,0,38.55,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-448-1200,1008,12:00:00,13:05:00,16.19,-0.0037,0.216,14.94,0.354,26.9,0,22.57,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-448-1330,1008,13:30:00,14:35:00,16.19,0.0033,0.287,14.94,0.365,27.2,0,25.48,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1008-2-448-1352,1008,13:52:00,14:57:00,16.19,0.0011,0.44,14.94,0.492,27.2,0,25.68,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
