trip_id,route_id,start_time,end_time,origin,destination,distance_km,candidate_path,source
1001-1-448-2110,1001,21:10:00,21:55:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-2-448-0630,1001,06:30:00,07:15:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-448-0950,1001,09:50:00,10:35:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-448-1150,1001,11:50:00,12:35:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-448-1250,1001,12:50:00,13:35:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-448-1350,1001,13:50:00,14:35:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-448-1650,1001,16:50:00,17:35:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-448-1850,1001,18:50:00,19:35:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-448-1950,1001,19:50:00,20:35:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-448-2205,1001,22:05:00,22:50:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-448-2305,1001,23:05:00,23:50:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1002-1-287-0600,1002,06:00:00,06:58:00,[KMB] 彩云总站,[KMB] 彩云总站,16.17,1002,DATA.GOV.HK pt-headway GTFS
1002-1-287-0700,1002,07:00:00,07:58:00,[KMB] 彩云总站,[KMB] 彩云总站,16.17,1002,DATA.GOV.HK pt-headway GTFS
1002-1-287-0715,1002,07:15:00,08:13:00,[KMB] 彩云总站,[KMB] 彩云总站,16.17,1002,DATA.GOV.HK pt-headway GTFS
1002-1-287-0755,1002,07:55:00,08:53:00,[KMB] 彩云总站,[KMB] 彩云总站,16.17,1002,DATA.GOV.HK pt-headway GTFS
1002-1-287-1000,1002,10:00:00,10:58:00,[KMB] 彩云总站,[KMB] 彩云总站,16.17,1002,DATA.GOV.HK pt-headway GTFS
1002-1-287-1200,1002,12:00:00,12:58:00,[KMB] 彩云总站,[KMB] 彩云总站,16.17,1002,DATA.GOV.HK pt-headway GTFS
1002-1-287-1405,1002,14:05:00,15:03:00,[KMB] 彩云总站,[KMB] 彩云总站,16.17,1002,DATA.GOV.HK pt-headway GTFS
1002-1-287-1725,1002,17:25:00,18:23:00,[KMB] 彩云总站,[KMB] 彩云总站,16.17,1002,DATA.GOV.HK pt-headway GTFS
1002-1-287-1815,1002,18:15:00,19:13:00,[KMB] 彩云总站,[KMB] 彩云总站,16.17,1002,DATA.GOV.HK pt-headway GTFS
1002-1-288-0600,1002,06:00:00,06:58:00,[KMB] 彩云总站,[KMB] 彩云总站,16.17,1002,DATA.GOV.HK pt-headway GTFS
1002-1-288-1100,1002,11:00:00,11:58:00,[KMB] 彩云总站,[KMB] 彩云总站,16.17,1002,DATA.GOV.HK pt-headway GTFS
1002-1-288-1305,1002,13:05:00,14:03:00,[KMB] 彩云总站,[KMB] 彩云总站,16.17,1002,DATA.GOV.HK pt-headway GTFS
1002-1-288-1645,1002,16:45:00,17:43:00,[KMB] 彩云总站,[KMB] 彩云总站,16.17,1002,DATA.GOV.HK pt-headway GTFS
1002-1-448-0600,1002,06:00:00,06:58:00,[KMB] 彩云总站,[KMB] 彩云总站,16.17,1002,DATA.GOV.HK pt-headway GTFS
1002-1-448-1300,1002,13:00:00,13:58:00,[KMB] 彩云总站,[KMB] 彩云总站,16.17,1002,DATA.GOV.HK pt-headway GTFS
1002-1-448-1645,1002,16:45:00,17:43:00,[KMB] 彩云总站,[KMB] 彩云总站,16.17,1002,DATA.GOV.HK pt-headway GTFS
1006-1-287-0737,1006,07:37:00,08:41:00,[CTB] 筲箕湾,[KMB+CTB] 美孚巴士总站/ 美孚,12.81,1006,DATA.GOV.HK pt-headway GTFS
1006-1-287-0752,1006,07:52:00,08:56:00,[CTB] 筲箕湾,[KMB+CTB] 美孚巴士总站/ 美孚,12.81,1006,DATA.GOV.HK pt-headway GTFS
1006-1-287-1800,1006,18:00:00,19:04:00,[CTB] 筲箕湾,[KMB+CTB] 美孚巴士总站/ 美孚,12.81,1006,DATA.GOV.HK pt-headway GTFS
1006-1-287-1815,1006,18:15:00,19:19:00,[CTB] 筲箕湾,[KMB+CTB] 美孚巴士总站/ 美孚,12.81,1006,DATA.GOV.HK pt-headway GTFS
1006-2-287-0715,1006,07:15:00,08:19:00,[KMB+CTB] 美孚巴士总站/ 美孚,[CTB] 筲箕湾,12.52,1006,DATA.GOV.HK pt-headway GTFS
1006-2-287-0728,1006,07:28:00,08:32:00,[KMB+CTB] 美孚巴士总站/ 美孚,[CTB] 筲箕湾,12.52,1006,DATA.GOV.HK pt-headway GTFS
1006-2-287-0741,1006,07:41:00,08:45:00,[KMB+CTB] 美孚巴士总站/ 美孚,[CTB] 筲箕湾,12.52,1006,DATA.GOV.HK pt-headway GTFS
1006-2-287-0754,1006,07:54:00,08:58:00,[KMB+CTB] 美孚巴士总站/ 美孚,[CTB] 筲箕湾,12.52,1006,DATA.GOV.HK pt-headway GTFS
1006-2-287-0807,1006,08:07:00,09:11:00,[KMB+CTB] 美孚巴士总站/ 美孚,[CTB] 筲箕湾,12.52,1006,DATA.GOV.HK pt-headway GTFS
1006-2-287-1800,1006,18:00:00,19:04:00,[KMB+CTB] 美孚巴士总站/ 美孚,[CTB] 筲箕湾,12.52,1006,DATA.GOV.HK pt-headway GTFS
1006-2-287-1815,1006,18:15:00,19:19:00,[KMB+CTB] 美孚巴士总站/ 美孚,[CTB] 筲箕湾,12.52,1006,DATA.GOV.HK pt-headway GTFS
